List_Number,Simple_Name,Simple_Name_With_Epithets,Full_Name,Broad_Dynasty,Family_Name,Reign_Start,Reign_End,Reign_Length_Years,Summary,Co_Emperor_Notes,Image_URL,Difficulty,Effectiveness,Local_Image,Composite,Wiki_Length,Wiki_Views,Length_Rank,Views_Rank,Wiki_Score
1,Constantine I,Constantine I the Great,Flavius Valerius Constantinus,Constantinian,Constantinus,306,337,31,Sole emperor from 324. Moved the imperial capital to Constantinople in 330. Issued the Edict of Milan granting religious tolerance. Presided over the Council of Nikaia in 325.,"Co-ruled with Licinius 313-324; sons Constantinus II, Constans, and Constantius II made Caesars",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Statua_di_Costantino_ai_musei_capitolini.jpg/500px-Statua_di_Costantino_ai_musei_capitolini.jpg,11,20,images/001_.jpg,84.0,180856,4576,1.0,1.0,1.0
2,Constantius II,Constantius II,Flavius Julius Constantius,Constantinian,Constantinus,337,361,24,Son of Constantine I. Sole emperor from 350. Favored Arian Christianity. Fought the Persians repeatedly.,Co-emperor with brothers 337-350; appointed Julian as Caesar 355,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg/500px-Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg,6,10,images/002_.jpg,52.0,68764,716,7.0,8.0,7.5
3,Julian,Julian the Apostate,Flavius Claudius Julianus,Constantinian,Constantinus,361,363,2,Last non-Christian emperor. Attempted to restore traditional religion. Killed on campaign against Persia.,Caesar under Constantius II from 355; proclaimed Augustus by his troops in 360,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Juliancng8851obverse.jpg/500px-Juliancng8851obverse.jpg,10,12,images/003_.jpg,50.0,110060,1170,2.0,4.0,3.0
4,Jovian,Jovian,Flavius Jovianus,Non-dynastic,Non-dynastic,363,364,1,Elected by the army after Julian's death. Made an unpopular peace with Persia ceding Nisibis. Died of uncertain causes after eight months.,Sole emperor; no co-rulers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Solidus_of_Jovian2_%28obverse%29.jpg/500px-Solidus_of_Jovian2_%28obverse%29.jpg,12,10,images/004_.jpg,54.0,909,35,79.0,82.0,80.5
5,Valens,Valens,Flavius Valens,Valentinianic,Valentinianus,364,378,14,"Eastern emperor, brother of Valentinian I. Allowed the Visigoths to settle inside the empire under poor conditions, leading to revolt. Killed at Adrianople in 378.",Co-emperor in the east under arrangement with Valentinian I,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/INC-3015-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._364_%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-3015-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._364_%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png,11,6,images/005_.png,43.0,47541,477,17.0,12.0,14.5
6,Theodosios I,Theodosios I the Great,Flavius Theodosius,Theodosian,Theodosios,379,395,16,Last emperor to rule a united empire. Made Nicene Christianity the state religion in 380. Defeated multiple usurpers. Divided the empire between his sons at death.,Co-ruled with Valentinian II and Gratian; divided empire between sons Arkadios and Honorius,https://upload.wikimedia.org/wikipedia/commons/f/f7/Bust_of_Theodosius_I.jpg,16,16,images/006_.jpg,80.0,106066,1489,3.0,3.0,3.0
7,Arkadios,Arkadios,Flavius Arcadius,Theodosian,Theodosios,395,408,13,"Eastern emperor, son of Theodosios I. Weak ruler dominated by court factions. Oversaw expulsion of John Chrysostom.",Eastern Augustus from 383; co-emperor with father until 395,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Arcadius_Istanbul_Museum.JPG/500px-Arcadius_Istanbul_Museum.JPG,8,5,images/007_.jpg,31.0,33009,398,34.0,17.0,25.5
8,Theodosios II,Theodosios II,Flavius Theodosius,Theodosian,Theodosios,408,450,42,Built the Theodosian Walls. Convened the Council of Ephesos. Issued the Theodosian Law Code in 438. Largely dominated by his sister Pulcheria and senior officials.,Sole eastern emperor; western emperors ruled simultaneously,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Theodosius_II_Louvre_Ma1036.jpg/500px-Theodosius_II_Louvre_Ma1036.jpg,9,13,images/008_.jpg,57.0,31727,490,37.0,11.0,24.0
9,Markianos,Markianos,Flavius Marcianus,Theodosian,Non-dynastic,450,457,7,Military officer who married Pulcheria to gain the throne. Refused tribute to Attila. Presided over the Council of Chalkedon in 451.,Sole eastern emperor; western emperor Valentinian III ruled simultaneously until 455,https://upload.wikimedia.org/wikipedia/commons/3/39/Solidus_of_Marcian.png,12,12,images/009_.png,60.0,61167,322,9.0,26.0,17.5
10,Leo I,Leo I the Thracian,Flavius Valerius Leo,Leonid,Leo,457,474,17,First emperor crowned by the Patriarch of Constantinople. Broke the power of the general Aspar. Disastrous naval expedition against the Vandals in 468.,Made his grandson Leo II co-emperor shortly before death,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Leo_I_Louvre_Ma1012_n2.jpg/500px-Leo_I_Louvre_Ma1012_n2.jpg,8,11,images/010_.jpg,49.0,21048,332,55.0,24.0,39.5
11,Leo II,Leo II,Flavius Leo,Leonid,Leo,474,474,1,"Grandson of Leo I, child emperor. Co-ruled briefly with his father Zeno. Died young.",Co-emperor with grandfather Leo I; made his father Zeno co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Solidus_of_Leo_II.png/500px-Solidus_of_Leo_II.png,6,8,images/011_.png,36.0,776,3,80.0,88.0,84.0
12,Zeno,Zeno,Flavius Zeno,Leonid,Non-dynastic,474,491,17,"Isaurian emperor. Sent Theoderic the Ostrogoth to Italy. Issued the Henotikon attempting to resolve Christological disputes, causing the Acacian Schism with Rome.",Initially co-emperor under Leo II; displaced by Basiliskos 475-476,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Solidus_of_Roman_emperor_Zeno.jpg/500px-Solidus_of_Roman_emperor_Zeno.jpg,15,16,images/012_.jpg,78.0,2519,54,78.0,79.0,78.5
13,Basiliskos,Basiliskos,Flavius Basiliscus,Non-dynastic,Basiliskos,475,476,1,Brother-in-law of Leo I who briefly seized power while Zeno fled. Supported Miaphysite theology. Overthrown when Zeno returned.,Usurper; made his son Marcus co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Solidus_of_emperor_Basiliscus.jpg/500px-Solidus_of_emperor_Basiliscus.jpg,8,6,images/013_.jpg,34.0,55466,227,12.0,44.0,28.0
14,Anastasios I,Anastasios I,Flavius Anastasius,Non-dynastic,Non-dynastic,491,518,27,Civil servant who married the empress Ariadne. Sound financial administrator. Miaphysite sympathies caused religious unrest. Strengthened the Danube frontier.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/9/92/Flavius_Anastasius_Probus_01c_%28Anastasius_I%29_%28cropped%29.JPG,10,18,images/014_.jpg,74.0,32657,334,35.0,23.0,29.0
15,Justin I,Justin I,Flavius Iustinus,Justinianic,Justinianus,518,527,9,"Illiterate Macedonian peasant who rose through the army. Orthodox in religion, ending the Acacian Schism. His nephew Justinian effectively co-ruled and succeeded him.",Made Justinian I co-emperor shortly before death,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Solidus_of_Justin_I_%28obverse%29.jpg/500px-Solidus_of_Justin_I_%28obverse%29.jpg,2,15,images/015_.jpg,49.0,33397,362,33.0,21.0,27.0
16,Justinian I,Justinian I the Great,Flavius Petrus Sabbatius Iustinianus,Justinianic,Justinianus,527,565,38,"Reconquered North Africa, Italy, and part of Spain. Issued the Corpus Juris Civilis. Built Hagia Sophia. The Justinianic Plague devastated the empire from 541.",Made his cousin Justin II co-emperor near end of reign,https://upload.wikimedia.org/wikipedia/commons/3/3d/Mosaic_of_Justinianus_I_-_Basilica_San_Vitale_%28Ravenna%29.jpg,4,15,images/016_.jpg,53.0,102537,2377,4.0,2.0,3.0
17,Justin II,Justin II,Flavius Iustinus,Justinianic,Justinianus,565,578,13,Nephew of Justinian I. Lost most of Italy to the Lombards after 568. Wars with Persia went badly. Suffered mental breakdown; wife Sophia governed in his later years.,Adopted Tiberios as Caesar and co-ruler in 574 due to his incapacity,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Solidus_of_Justin_II_%28obverse%29.jpg/500px-Solidus_of_Justin_II_%28obverse%29.jpg,11,8,images/017_.jpg,46.0,24994,323,47.0,25.0,36.0
18,Tiberios II,Tiberios II the Constantine,Flavius Tiberius Constantinus,Non-dynastic,Non-dynastic,578,582,4,Popular general adopted by Justin II. Generous to the point of depleting the treasury. Fought Persia and faced Avar and Slav pressure on the Balkans.,Caesar and co-ruler from 574; sole emperor from 578,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Tiberios_II_%28obverse%29.jpg/500px-Tiberios_II_%28obverse%29.jpg,10,10,images/018_.jpg,56.0,29573,226,43.0,45.0,44.0
19,Maurikios,Maurikios,Flavius Mauricius Tiberius,Non-dynastic,Non-dynastic,582,602,20,Capable military emperor. Stabilized the eastern frontier with Persia. Created the Exarchates of Ravenna and Carthage. Wrote a military manual. Executed with his sons by Phokas.,Made his son Theodosios co-emperor,https://upload.wikimedia.org/wikipedia/commons/3/3b/Solidus_of_Maurice_%28transitional_issue%29.png,8,12,images/019_.png,52.0,46871,384,18.0,19.0,18.5
20,Phokas,Phokas,Flavius Phocas,Non-dynastic,Non-dynastic,602,610,8,Low-ranking soldier who led a mutiny against Maurikios. Brutal reign marked by purges. Lost territory to Persia. Overthrown by Herakleios.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Phocas%2C_British_Museum.jpg/500px-Phocas%2C_British_Museum.jpg,4,1,images/020_.jpg,27.0,23627,356,49.0,22.0,35.5
21,Herakleios,Herakleios,Flavius Heraclius,Heraklean,Herakleios,610,641,31,"Made Greek the official language. Dramatic comeback against Persia in the 620s recovered all lost territory. The Arab conquests then stripped away Egypt, Syria, and Mesopotamia permanently.",Made his sons Constantine III and Heraklonas co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Heraclius_solidus.jpg/500px-Heraclius_solidus.jpg,20,17,images/021_.jpg,94.0,62599,992,8.0,5.0,6.5
22,Constantine III,Constantine III,Flavius Heracleus Novus Constantinus,Heraklean,Herakleios,641,641,1,"Son of Herakleios. Died after only a few months, possibly poisoned by his stepmother Martina.",Co-emperor with father from 613; briefly co-ruled with half-brother Heraklonas,https://upload.wikimedia.org/wikipedia/commons/d/db/Solidus_Heraclius_Constantine_Obverse.jpg,14,10,images/022_.jpg,52.0,110,55,83.0,78.0,80.5
23,Heraklonas,Heraklonas,Flavius Heraclianus,Heraklean,Herakleios,641,641,1,Son of Herakleios and Martina. Child emperor ruled by his mother. Both exiled and mutilated after a few months.,Co-emperor with half-brother Constantine III; mother Martina held real power,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Solidus_Heraclius_sb_767_%28obverse%29.png/400px-Solidus_Heraclius_sb_767_%28obverse%29.png,14,7,images/023_.png,49.0,22587,156,53.0,61.0,57.0
24,Constans II,Constans II,Flavius Heracleus Constantinus,Heraklean,Herakleios,641,668,27,"Fought the Arab advance with limited success. Moved to Syracuse, the only emperor to abandon Constantinople. Murdered in his bath.","Made his sons Constantine IV, Herakleios, and Tiberios co-emperors",https://upload.wikimedia.org/wikipedia/commons/8/84/Solidus_Constans_II_%28obverse%29.jpg,13,12,images/024_.jpg,62.0,31588,257,39.0,37.5,38.25
25,Constantine IV,Constantine IV,Flavius Constantinus,Heraklean,Herakleios,668,685,17,Repelled the first Arab siege of Constantinople 674-678 using Greek fire. Convened the Third Council of Constantinople. Forced recognition of Bulgaria.,Co-emperor under Constans II; forced to demote brothers Herakleios and Tiberios as co-emperors,https://upload.wikimedia.org/wikipedia/commons/d/db/Solidus_Heraclius_Constantine_Obverse.jpg,13,15,images/025_.jpg,71.0,26763,231,46.0,43.0,44.5
26,Justinian II,Justinian II Slit-Nose,Flavius Justinianus,Heraklean,Herakleios,685,711,26,Deposed in 695 with his nose cut off and sent into exile. Returned with Bulgarian and Khazar support in 705. Second reign marked by vengeance and erratic behavior. Murdered in a military revolt. Both reigns combined into one row.,Sole emperor in first reign; made his son Tiberios co-emperor in second reign,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Justinian_ii_%282%29.png/500px-Justinian_ii_%282%29.png,14,8,images/026_.png,52.0,29783,473,42.0,13.0,27.5
27,Leontios,Leontios,Leontius,Non-dynastic,Non-dynastic,695,698,3,General who overthrew Justinian II. Himself deposed by Tiberios III. Later executed when Justinian II returned.,Sole ruler; usurper,https://upload.wikimedia.org/wikipedia/commons/8/8f/Solidus_of_Leontius.png,8,7,images/027_.png,37.0,22,1,89.0,89.0,89.0
28,Tiberios III,Tiberios III,Tiberius Apsimarus,Non-dynastic,Non-dynastic,698,705,7,Naval officer who overthrew Leontios. Reasonably competent reign. Executed when Justinian II returned.,Sole ruler; usurper,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Tiberius_III_solidus-2_%28cropped%29.png/500px-Tiberius_III_solidus-2_%28cropped%29.png,8,7,images/028_.png,37.0,22784,119,51.0,69.0,60.0
29,Philippikos,Philippikos,Philippicus Bardanes,Non-dynastic,Non-dynastic,711,713,2,Armenian general who overthrew Justinian II. Monothelite in theology. Overthrown by his own troops.,Sole ruler; usurper,https://upload.wikimedia.org/wikipedia/commons/4/48/Solidus_of_Philippicus.png,10,4,images/029_.png,32.0,9990,114,73.0,70.0,71.5
30,Anastasios II,Anastasios II,Flavius Artemius Anastasius,Non-dynastic,Non-dynastic,713,715,2,Capable administrator who attempted to reform the army. Deposed by military revolt. Later attempted a comeback and was executed.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/7/7e/Anastasius_II_sb1464_%28obverse%29.jpg,9,8,images/030_.jpg,42.0,345,4,82.0,87.0,84.5
31,Theodosios III,Theodosios III,Theodosius,Non-dynastic,Non-dynastic,715,717,2,Tax official elevated by a mutinous army. Abdicated voluntarily in favor of Leo III.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/9/9c/Coin_of_Theodosius_III.png,10,9,images/031_.png,35.0,21522,135,54.0,65.0,59.5
32,Leo III,Leo III the Isaurian,Conon,Isaurian,Leo,717,741,24,Defended Constantinople against the second great Arab siege of 717-718. Initiated the iconoclast controversy from 726. Reorganized the theme system.,Made his son Constantine V co-emperor in 720,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Solidus_of_Leo_III_sb1504.png/500px-Solidus_of_Leo_III_sb1504.png,19,19,images/032_.png,94.0,38065,387,26.0,18.0,22.0
33,Constantine V,Constantine V Kopronymos,Flavius Constantinus,Isaurian,Leo,741,775,34,"Vigorous military emperor and committed iconoclast. Convened the iconoclast Council of Hiereia in 754. Won significant victories against Bulgaria and the Arabs. Deeply reviled by later pro-icon sources, making his reign hard to evaluate fairly.",Co-emperor under Leo III from 720; displaced briefly by usurper Artabasdos 741-743; made his son Leo IV co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Solidus_of_Constantine_V_%28transparent_background%29.png/500px-Solidus_of_Constantine_V_%28transparent_background%29.png,17,17,images/033_.png,85.0,41816,267,23.0,34.0,28.5
34,Artabasdos,Artabasdos,Artabasdus,Non-dynastic,Artabasdos,741,743,2,Son-in-law of Leo III who briefly seized power during Constantine V's absence. Pro-icon. Defeated and blinded by Constantine V.,Usurper; made his sons co-emperors,https://upload.wikimedia.org/wikipedia/commons/f/f6/Solidus_of_Artabasdos.png,8,4,images/034_.png,28.0,7880,44,75.0,80.5,77.75
35,Leo IV,Leo IV the Khazar,Flavius Leo,Isaurian,Leo,775,780,5,"Son of Constantine V. Moderate iconoclast. Died young, leaving his widow Eirene as regent for Constantine VI.",Co-emperor under Constantine V; made his son Constantine VI co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gold_Solidus_of_Leo_IV.jpg/500px-Gold_Solidus_of_Leo_IV.jpg,9,11,images/035_.jpg,51.0,8271,181,74.0,52.0,63.0
36,Constantine VI,Constantine VI,Flavius Constantinus,Isaurian,Leo,780,797,17,"Ruled under his mother Eirene's regency, then in his own right. Blinded and deposed by his own mother.",Co-emperor under Leo IV; ruled jointly with Eirene until he asserted sole rule,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/INC-3040-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_VI_%D0%B8_%D0%98%D1%80%D0%B8%D0%BD%D0%B0._793%E2%80%94979_%D0%B3%D0%B3._%28%D1%80%D0%B5%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-3040-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_VI_%D0%B8_%D0%98%D1%80%D0%B8%D0%BD%D0%B0._793%E2%80%94979_%D0%B3%D0%B3._%28%D1%80%D0%B5%D0%B2%D0%B5%D1%80%D1%81%29.png,10,7,images/036_.png,41.0,15888,210,65.0,47.0,56.0
37,Eirene,Eirene,Eirene,Isaurian,Non-dynastic,797,802,5,First woman to rule the empire in her own name. Restored icon veneration. Deposed by her own finance minister.,Had been regent and co-empress for Constantine VI before deposing him; ruled alone,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gold_Solidus_of_Leo_IV.jpg/500px-Gold_Solidus_of_Leo_IV.jpg,9,12,images/037_.jpg,54.0,49127,442,16.0,14.0,15.0
38,Nikephoros I,Nikephoros I,Nicephorus,Non-dynastic,Non-dynastic,802,811,9,"Finance minister who overthrew Eirene. Capable administrator. Killed fighting the Bulgarians at Pliska in 811, the first emperor to die in battle against a foreign enemy since Valens.",Made his son Staurakios co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/INC-1870-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%B5%D0%B3%D0%BE_%D1%81%D1%8B%D0%BD_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9._%D0%9E%D0%BA._803%E2%80%94811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-1870-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%B5%D0%B3%D0%BE_%D1%81%D1%8B%D0%BD_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9._%D0%9E%D0%BA._803%E2%80%94811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png,8,14,images/038_.png,52.0,18726,255,59.0,39.0,49.0
39,Staurakios,Staurakios,Stauracius,Non-dynastic,Non-dynastic,811,811,1,"Son of Nikephoros I, wounded in the same battle as his father. Died of his wounds after a few months.",Co-emperor under Nikephoros I,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/INC-1546-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9_%D0%BE%D0%BA._803-811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-1546-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9_%D0%BE%D0%BA._803-811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png,16,4,images/039_.png,42.0,37736,129,27.0,66.0,46.5
40,Michael I,Michael I Rhangabe,Michael Rhangabe,Non-dynastic,Rhangabe,811,813,2,"Brother-in-law of Staurakios. Pious and ineffective. Lost a major battle to Bulgaria and abdicated, becoming a monk.",Made his sons co-emperors,https://upload.wikimedia.org/wikipedia/commons/d/dc/Michael_II_in_the_Madrid_Skylitzes.jpg,10,6,images/040_.jpg,38.0,0,0,90.0,90.0,90.0
41,Leo V,Leo V the Armenian,Leo,Non-dynastic,Non-dynastic,813,820,7,General who overthrew Michael I. Revived iconoclasm. Murdered in the palace chapel on Christmas Day.,Made his son Symbatios co-emperor,https://upload.wikimedia.org/wikipedia/commons/8/89/Leo_V_in_Madrid_Skylitzes.jpg,12,14,images/041_.jpg,61.0,30553,175,41.0,54.0,47.5
42,Michael II,Michael II the Amorian,Michael,Amorian,Amorian,820,829,9,Low-born soldier who murdered Leo V. Founded the Amorian dynasty. Moderate iconoclast. Faced the serious revolt of Thomas the Slav.,Made his son Theophilos co-emperor,https://upload.wikimedia.org/wikipedia/commons/d/dc/Michael_II_in_the_Madrid_Skylitzes.jpg,14,10,images/042_.jpg,61.0,22740,178,52.0,53.0,52.5
43,Theophilos,Theophilos,Theophilus,Amorian,Amorian,829,842,13,"Cultivated, architecturally ambitious emperor. Last iconoclast emperor. Fought the Arabs with mixed results.",Co-emperor under Michael II; made his son Michael III co-emperor,https://upload.wikimedia.org/wikipedia/commons/3/3e/Theophilos_%28cropped%29.jpg,10,12,images/043_.jpg,56.0,33533,184,32.0,51.0,41.5
44,Michael III,Michael III the Drunkard,Michael,Amorian,Amorian,842,867,25,Last of the Amorian dynasty. Child emperor under his mother Theodora's regency. Icon veneration permanently restored in 843. Christianization of the Slavs began under his reign. Murdered by Basil I.,Made Basil I co-emperor in 866,https://upload.wikimedia.org/wikipedia/commons/0/0e/Michael_iii.jpg,11,9,images/044_.jpg,64.0,33900,262,31.0,36.0,33.5
