List_Number,Simple_Name,Simple_Name_With_Epithets,Full_Name,Broad_Dynasty,Family_Name,Reign_Start,Reign_End,Reign_Length_Years,Summary,Co_Emperor_Notes,Image_URL,Difficulty,Effectiveness,Local_Image,Composite,Wiki_Length,Wiki_Views,Length_Rank,Views_Rank,Wiki_Score
45,Basil I,Basil I the Macedonian,Basil,Macedonian,Makedon,867,886,19,Macedonian peasant who rose to become co-emperor and murdered Michael III. Founded the Macedonian dynasty. Capable military and legislative emperor.,Co-emperor under Michael III 866-867; made sons Konstantinos and Leo VI co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Roman_Emperor_Basil_I.png/500px-Roman_Emperor_Basil_I.png,7,15,images/045_.png,62.0,34684,403,29.0,16.0,22.5
46,Leo VI,Leo VI the Wise,Leo,Macedonian,Makedon,886,912,26,Prolific legislator who completed the Basilika law code. Fourth marriage caused a major church crisis. Military reverses against Bulgaria and the Arabs.,Co-emperor under Basil I from 870; made his brother Alexander co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Emperor_Leo_VI_detail.jpg/500px-Emperor_Leo_VI_detail.jpg,6,16,images/046_.jpg,57.0,24765,285,48.0,31.5,39.75
47,Alexander,Alexander,Alexander,Macedonian,Makedon,912,913,1,"Brother of Leo VI. Brief sole reign. Repudiated peace with Bulgaria, leading to devastating war. Died of illness.",Co-emperor under Leo VI for decades; brief sole reign,https://upload.wikimedia.org/wikipedia/commons/1/1d/Alexandros_mosaic.jpg,9,7,images/047_.jpg,39.0,34728,775,28.0,7.0,17.5
48,Constantine VII,Constantine VII Porphyrogennetos,Constantine,Macedonian,Makedon,913,959,46,Long reign mostly spent under regencies and the domination of Romanos I Lekapenos. A patron of learning who wrote important administrative and ceremonial texts.,Nominal emperor from infancy; dominated by Romanos I Lekapenos 920-944; made his son Romanos II co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Constantine_VII_Porphyrogenitus_%282%29.jpeg/500px-Constantine_VII_Porphyrogenitus_%282%29.jpeg,9,12,images/048_.jpeg,63.0,27033,544,45.0,10.0,27.5
49,Romanos I,Romanos I Lekapenos,Romanos Lekapenos,Macedonian,Lekapenos,920,944,24,Admiral who married his daughter to Constantine VII and made himself senior emperor. Issued legislation protecting small farmers. Deposed by his own sons.,Senior co-emperor alongside the legitimate Constantine VII; made his sons co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Seal_of_Romanos_I_Lekapenos.png/500px-Seal_of_Romanos_I_Lekapenos.png,7,15,images/049_.png,59.0,34319,189,30.0,49.0,39.5
50,Romanos II,Romanos II,Romanos,Macedonian,Makedon,959,963,4,Son of Constantine VII. Short reign. The general Nikephoros Phokas won major victories against the Arabs. Died young under suspicious circumstances.,Co-emperor under Constantine VII from 945; made his sons Basil II and Constantine VIII co-emperors,https://upload.wikimedia.org/wikipedia/commons/1/1c/Romanos_et_Eudoxie_%28cropped2%29.JPG,6,10,images/050_.jpg,42.0,13126,240,67.0,42.0,54.5
51,Nikephoros II,Nikephoros II Phokas,Nicephorus Phocas,Macedonian,Phokas,963,969,6,Great general who conquered Cilicia and parts of Syria. Married the empress-widow Theophano. Murdered by his nephew John Tzimiskes.,Ruled alongside the child co-emperors Basil II and Constantine VIII,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Nikephoros_Phokas.jpg/500px-Nikephoros_Phokas.jpg,10,17,images/051_.jpg,71.0,38975,300,24.0,29.0,26.5
52,John I,John I Tzimiskes,John Tzimiskes,Macedonian,Tzimiskes,969,976,7,"Brilliant military emperor who murdered Nikephoros II. Pushed deep into Syria and Palestine. Died of illness, possibly poisoned.",Ruled alongside the child co-emperors Basil II and Constantine VIII,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Bamberg_Gunthertuch.jpg/500px-Bamberg_Gunthertuch.jpg,5,18,images/052_.jpg,64.0,18449,264,61.0,35.0,48.0
53,Basil II,Basil II the Bulgar-Slayer,Basil,Macedonian,Makedon,976,1025,49,"Longest-reigning Byzantine emperor. Destroyed Bulgaria in a long war, blinding 15,000 prisoners. Christianized Kievan Rus through the baptism of Vladimir I. Left the treasury overflowing.",Co-emperor from infancy under Nikephoros II and John I Tzimiskes; ruled alongside brother Constantine VIII throughout,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Basilios_II.jpg/500px-Basilios_II.jpg,8,20,images/053_.jpg,76.0,80680,925,6.0,6.0,6.0
54,Constantine VIII,Constantine VIII,Constantine,Macedonian,Makedon,1025,1028,3,"Brother of Basil II, nominal co-emperor for decades. Sole reign was short and ineffective. Married his daughter Zoe to a series of emperors.",Co-emperor under Basil II for nearly 50 years; brief sole reign,https://upload.wikimedia.org/wikipedia/commons/8/88/Constantine_VIII_in_the_Exultet_roll_%282%29.jpg,1,11,images/054_.jpg,17.0,16719,223,64.0,46.0,55.0
55,Romanos III,Romanos III Argyros,Romanos Argyros,Macedonian,Argyros,1028,1034,6,"Prefect of Constantinople who married the empress Zoe. Pretentious and militarily incompetent. Found drowned in his bath, almost certainly murdered.",Ruled jointly with empress Zoe,https://upload.wikimedia.org/wikipedia/commons/5/5d/Romanos_III_in_Madrid_Skylitzes.png,2,6,images/055_.png,34.0,52,17,85.0,84.0,84.5
56,Michael IV,Michael IV the Paphlagonian,Michael,Paphlagonian,Paphlagonians,1034,1041,7,Young man of humble origin who caught empress Zoe's attention. Real power held by his brother John the Orphanotrophos. Suffered from epilepsy.,Ruled jointly with empress Zoe; his nephew Michael V was made co-emperor near end of reign,https://upload.wikimedia.org/wikipedia/commons/b/b0/Michael_IV_the_Paphlagonian_%28cropped%29.jpg,3,11,images/056_.jpg,46.0,17534,197,62.0,48.0,55.0
57,Michael V,Michael V Kalaphates,Michael Kalaphates,Paphlagonian,Paphlagonians,1041,1042,1,"Nephew of Michael IV, adopted by Zoe. Attempted to exile Zoe and rule alone, triggering a popular revolt. Blinded and deposed.",Initially co-emperor with empress Zoe; attempted sole rule,https://upload.wikimedia.org/wikipedia/commons/5/5f/Michael_V_in_Madrid_Skylitzes.jpg,3,4,images/057_.jpg,30.0,356,6,81.0,86.0,83.5
58,Zoe,Zoe (with Theodora),Zoe Porphyrogenita,Macedonian,Makedon,1042,1042,1,Daughter of Constantine VIII. Briefly ruled jointly with her sister Theodora after the people of Constantinople overthrew Michael V.,Ruled jointly with sister Theodora,https://upload.wikimedia.org/wikipedia/commons/3/3f/Zoe_mosaic_Hagia_Sophia.jpg,5,10,images/058_.jpg,44.0,32,12,88.0,85.0,86.5
59,Theodora,Theodora,Theodora Porphyrogenita,Macedonian,Makedon,1042,1056,14,"Daughter of Constantine VIII. Ruled jointly with Zoe briefly, then as sole empress after Zoe's marriage to Constantine IX, and finally alone after his death. Last of the Macedonian dynasty.",Co-ruled with Zoe in 1042; otherwise sole empress,https://upload.wikimedia.org/wikipedia/commons/3/37/Theodora_Porphyrogenita_crown-2.jpg,5,10,images/059_.jpg,44.0,3404,27,77.0,83.0,80.0
60,Constantine IX,Constantine IX Monomachos,Constantine Monomachos,Macedonian,Monomachos,1042,1055,13,Married empress Zoe to gain the throne. Ineffective ruler who reduced the military budget. The Great Schism between Rome and Constantinople occurred in 1054.,"Ruled jointly with empress Zoe until her death in 1050, then alongside Theodora",https://upload.wikimedia.org/wikipedia/commons/9/94/Emperor_Constantine_IX.jpg,6,12,images/060_.jpg,56.0,39,77,87.0,75.0,81.0
61,Michael VI,Michael VI Bringas,Michael Bringas,Non-dynastic,Non-dynastic,1056,1057,1,Elderly official chosen by Theodora's court. Unable to manage the military aristocracy. Abdicated after Isaac Komnenos raised a revolt.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Tetarteron_of_Michael_VI_%28reverse%29.png/500px-Tetarteron_of_Michael_VI_%28reverse%29.png,7,5,images/061_.png,33.0,6898,111,76.0,72.0,74.0
62,Isaac I,Isaac I Komnenos,Isaac Komnenos,Komnenian,Komnenos,1057,1059,2,"First of the Komnenian family to rule. Energetic reformer who tried to restore financial and military order. Abdicated voluntarily, becoming a monk.",Sole emperor,https://upload.wikimedia.org/wikipedia/commons/b/b7/Hyperpyron_of_Andronikos_I_%28reverse%29.jpg,8,10,images/062_.jpg,54.0,31977,172,36.0,55.0,45.5
63,Constantine X,Constantine X Doukas,Constantine Doukas,Doukas,Doukas,1059,1067,8,Civilian bureaucrat. Reduced military spending further. The Seljuk Turks began raiding Anatolia under his reign.,Made his sons Michael VII and Konstantios co-emperors,https://upload.wikimedia.org/wikipedia/commons/d/d6/Constantine_X_full_portrait.jpg,12,8,images/063_.jpg,46.0,10580,163,71.0,59.0,65.0
64,Romanos IV,Romanos IV Diogenes,Romanos Diogenes,Doukas,Diogenes,1068,1071,3,"Military emperor who married the empress-dowager Eudokia. Defeated and captured by the Seljuks at Mantzikert in 1071, the catastrophic turning point that opened Anatolia to Turkish settlement.","Ruled alongside the Doukas co-emperors Michael VII, Konstantios, and Andronikos",https://upload.wikimedia.org/wikipedia/commons/2/2a/Romanus_IV_coin_crop.png,17,9,images/064_.png,61.0,38779,293,25.0,30.0,27.5
65,Michael VII,Michael VII Doukas,Michael Doukas,Doukas,Doukas,1071,1078,7,Son of Constantine X. Scholarly but ineffective. His reign saw the loss of most of Anatolia to the Seljuks. Abdicated and became a monk.,Co-emperor under Constantine X and Romanos IV; made his son Constantine co-emperor,https://upload.wikimedia.org/wikipedia/commons/5/5a/Michael_VII_Doukas_from_the_Khakhuli_Triptych.png,13,6,images/065_.png,44.0,19317,170,56.0,57.0,56.5
66,Nikephoros III,Nikephoros III Botaneiates,Nikephoros Botaneiates,Non-dynastic,Botaneiates,1078,1081,3,Elderly general who seized the throne. Unable to manage multiple revolts. Abdicated when Alexios Komnenos marched on Constantinople.,Ruled alongside the child co-emperor Constantine Doukas,https://upload.wikimedia.org/wikipedia/commons/6/67/Nikephoros_III.jpg,12,7,images/066_.jpg,45.0,51900,147,14.0,64.0,39.0
67,Alexios I,Alexios I Komnenos,Alexius Comnenus,Komnenian,Komnenos,1081,1118,37,"Founded the Komnenian system of government based on family networks. Appealed to the west for help, triggering the First Crusade. Gradually recovered western Anatolia.",Made his son John II co-emperor,https://upload.wikimedia.org/wikipedia/commons/8/8c/Alexios_I_Komnenos.jpg,19,18,images/067_.jpg,94.0,42197,643,22.0,9.0,15.5
68,John II,John II Komnenos,John Comnenus,Komnenian,Komnenos,1118,1143,25,"Considered by many the best of the Komnenian emperors. Vigorous campaigns in Anatolia, the Balkans, and Syria. Died in a hunting accident.",Co-emperor under Alexios I from 1092; made his son Manuel I co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Jean_II_Comnene.jpg/400px-Jean_II_Comnene.jpg,12,17,images/068_.jpg,81.0,55659,314,10.0,27.5,18.75
69,Manuel I,Manuel I Komnenos,Manuel Comnenus,Komnenian,Komnenos,1143,1180,37,Ambitious western-oriented emperor who intervened heavily in Italian and crusader politics. Devastating defeat by the Seljuks at Myriokephalon in 1176.,Co-emperor under John II; made his son Alexios II co-emperor,https://upload.wikimedia.org/wikipedia/commons/a/af/Manuel_I_Comnenus.jpg,10,13,images/069_.jpg,69.0,83212,436,5.0,15.0,10.0
70,Alexios II,Alexios II Komnenos,Alexius Comnenus,Komnenian,Komnenos,1180,1183,3,Son of Manuel I. Child emperor under his mother's regency. Strangled on the orders of his cousin Andronikos I.,Co-emperor under Manuel I; mother Maria of Antioch acted as regent,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Seal_of_Alexios_II_Komnenos.png/500px-Seal_of_Alexios_II_Komnenos.png,8,6,images/070_.png,40.0,10924,160,70.0,60.0,65.0
71,Andronikos I,Andronikos I Komnenos,Andronicus Comnenus,Komnenian,Komnenos,1183,1185,2,Last of the Komnenian dynasty. Charismatic adventurer who seized power. Attempted radical administrative reform. Lynched by a Constantinople mob when the Normans invaded.,Initially co-emperor with Alexios II before having him killed,https://upload.wikimedia.org/wikipedia/commons/b/b7/Hyperpyron_of_Andronikos_I_%28reverse%29.jpg,8,2,images/071_.jpg,30.0,52079,375,13.0,20.0,16.5
72,Isaac II,Isaac II Angelos,Isaac Angelos,Angelid,Angelos,1185,1195,10,"Founded the Angelid dynasty. Defeated the Norman invasion. Failed to suppress the Bulgarian revolt that created the Second Bulgarian Empire. Deposed and blinded by his brother Alexios III. Briefly restored in 1203 by the Fourth Crusade alongside his son Alexios IV, but blind and powerless; killed when Alexios V seized power in 1204.",Made his son Alexios IV co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/144_-_Isaac_II_Angelos_%28Mutinensis_-_color%29.png/500px-144_-_Isaac_II_Angelos_%28Mutinensis_-_color%29.png,15,10,images/072_.png,60.0,23251,257,50.0,37.5,43.75
73,Alexios III,Alexios III Angelos,Alexius Angelos,Angelid,Angelos,1195,1203,8,Brother who overthrew Isaac II. Ineffective ruler who presided over the empire's accelerating decline. Fled when the Fourth Crusade appeared before Constantinople.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/145_-_Alexios_III_Angelos_%28Mutinensis_-_color%29.png/500px-145_-_Alexios_III_Angelos_%28Mutinensis_-_color%29.png,12,2,images/073_.png,30.0,14993,171,66.0,56.0,61.0
74,Alexios IV,Alexios IV Angelos,Alexius Angelos,Angelid,Angelos,1203,1204,1,Son of Isaac II who invited the Fourth Crusade to restore his father. Unable to pay the crusaders what he had promised. Strangled by Alexios V.,Co-ruled with his father Isaac II,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/146_-_Alexios_IV_Angelos_%28Mutinensis_-_color%29.png/500px-146_-_Alexios_IV_Angelos_%28Mutinensis_-_color%29.png,18,1,images/075_.png,42.0,11003,121,69.0,68.0,68.5
75,Alexios V,Alexios V Mourtzouphlos,Alexius Doukas Mourtzouphlos,Non-dynastic,Doukas,1204,1204,1,Seized power promising to defend the city against the crusaders. Constantinople fell to the Fourth Crusade in April 1204. Fled and was later executed.,Sole emperor; usurper,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/147_-_Alexios_V_Doukas_%28Mutinensis_-_color%29.png/500px-147_-_Alexios_V_Doukas_%28Mutinensis_-_color%29.png,20,2,images/076_.png,49.0,18936,165,57.0,58.0,57.5
76,Theodore I,Theodore I Laskaris,Theodore Lascaris,Laskarid,Laskaris,1204,1222,18,"Founded the Empire of Nikaia after the Latin conquest of Constantinople. Fought the Latins, Bulgarians, and Seljuks to establish a viable rump state. Crowned emperor in 1208.",Sole emperor of Nikaia,https://upload.wikimedia.org/wikipedia/commons/8/86/148_-_Theodore_I_Laskaris_%28Mutinensis_-_color%29.png,19,14,images/077_.png,80.0,43970,149,21.0,63.0,42.0
77,John III,John III Doukas Vatatzes,John Doukas Vatatzes,Laskarid,Vatatzes,1222,1254,32,Greatest emperor of the Nikaia period. Expanded the empire significantly. Sound economic administration. Venerated as a saint in the Orthodox church.,Made his son Theodore II co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/149_-_John_III_Doukas_Vatatzes_%28Mutinensis_-_color%29.png/500px-149_-_John_III_Doukas_Vatatzes_%28Mutinensis_-_color%29.png,16,18,images/078_.png,83.0,27944,112,44.0,71.0,57.5
78,Theodore II,Theodore II Laskaris,Theodore Lascaris,Laskarid,Laskaris,1254,1258,4,Son of John III. Intellectual emperor who wrote theological and scientific works. Suspicious of the aristocracy. Died of epilepsy.,Co-emperor under John III; made his son John IV co-emperor,https://upload.wikimedia.org/wikipedia/commons/8/86/148_-_Theodore_I_Laskaris_%28Mutinensis_-_color%29.png,14,12,images/079_.png,64.0,55467,104,11.0,73.0,42.0
79,John IV,John IV Laskaris,John Lascaris,Laskarid,Laskaris,1258,1261,3,"Child emperor, son of Theodore II. Blinded and imprisoned by Michael VIII Palaiologos after the recovery of Constantinople.",Co-emperor alongside Michael VIII from 1259,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/151_-_John_IV_Laskaris_%28Mutinensis_-_color%29.png/500px-151_-_John_IV_Laskaris_%28Mutinensis_-_color%29.png,15,5,images/080_.png,45.0,84,126,84.0,67.0,75.5
80,Michael VIII,Michael VIII Palaiologos,Michael Palaeologus,Palaiologan,Palaiologos,1261,1282,21,Recovered Constantinople from the Latins in 1261. Founded the Palaiologan dynasty. Attempted union with Rome to ward off western threats. The Sicilian Vespers of 1282 relieved the western threat. Blinded the legitimate heir John IV Laskaris to secure his own dynasty.,"Initially co-emperor with John IV Laskaris, whom he blinded; made his son Andronikos II co-emperor",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Miniature_of_Michael_VIII.png/500px-Miniature_of_Michael_VIII.png,16,16,images/081_.png,80.0,44635,314,20.0,27.5,23.75
81,Andronikos II,Andronikos II Palaiologos,Andronicus Palaeologus,Palaiologan,Palaiologos,1282,1328,46,"Long reign marked by financial difficulty, the disastrous hiring of the Catalan Company, and civil war with his grandson Andronikos III. The Ottoman emirate consolidated during his reign.",Co-emperor under Michael VIII from 1261; made his son Michael IX and later grandson Andronikos III co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Miniature_of_Andronikos_II.png/500px-Miniature_of_Andronikos_II.png,18,4,images/082_.png,48.0,31721,250,38.0,40.0,39.0
82,Michael IX,Michael IX Palaiologos,Michael Palaeologus,Palaiologan,Palaiologos,1294,1320,26,Co-emperor son of Andronikos II. Never ruled alone. Military setbacks against the Bulgarians and Turks. Died of grief after his son accidentally caused the death of another of his sons.,Co-emperor only; never sole ruler,https://upload.wikimedia.org/wikipedia/commons/6/60/154_-_Michael_IX_Palaiologos_%28Mutinensis_-_color%29.png,15,10,images/083_.png,60.0,46370,71,19.0,77.0,48.0
83,Andronikos III,Andronikos III Palaiologos,Andronicus Palaeologus,Palaiologan,Palaiologos,1328,1341,13,Overthrew his grandfather Andronikos II after civil war. Energetic but faced relentless Ottoman expansion. Last emperor to lead a significant military campaign in Anatolia.,Co-emperor under Andronikos II from 1316; made his son John V co-emperor,https://upload.wikimedia.org/wikipedia/commons/d/df/Andronikos_III_Palaiologos.jpg,18,12,images/084_.jpg,72.0,18528,187,60.0,50.0,55.0
84,John V,John V Palaiologos,John Palaeologus,Palaiologan,Palaiologos,1341,1391,50,Longest-reigning Palaiologan emperor though interrupted by usurpers. Devastating civil war of 1341-1347. The Black Death and inexorable Ottoman advance defined his reign. Personally converted to Roman Catholicism.,Co-emperor under Andronikos III; dominated by John VI Kantakouzenos 1347-1354; displaced by his son Andronikos IV 1376-1379 and briefly by grandson John VII in 1390,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Restored_mosaic_of_John_V_Palaiologos_%28head%29.jpg/400px-Restored_mosaic_of_John_V_Palaiologos_%28head%29.jpg,17,7,images/085_.jpg,55.0,17194,248,63.0,41.0,52.0
85,John VI,John VI Kantakouzenos,John Cantacuzenus,Kantakouzenos,Kantakouzenos,1347,1354,7,Aristocrat and general who won the civil war against John V's regents. Fatally invited Ottoman forces into Europe as allies. Abdicated and became a monk and historian.,Ruled as senior co-emperor alongside the legitimate John V,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/John_VI_Kantakouzenos.jpg/500px-John_VI_Kantakouzenos.jpg,17,1,images/086_.jpg,37.0,18927,153,58.0,62.0,60.0
86,Andronikos IV,Andronikos IV Palaiologos,Andronicus Palaeologus,Palaiologan,Palaiologos,1376,1379,3,Son of John V who rebelled against his father with Ottoman support. Briefly held Constantinople. Reconciled and made co-emperor.,Usurper against his father John V; later recognized as co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Miniature_of_Andronikos_II.png/500px-Miniature_of_Andronikos_II.png,17,6,images/087_.png,52.0,9994,93,72.0,74.0,73.0
87,John VII,John VII Palaiologos,John Palaeologus,Palaiologan,Palaiologos,1390,1390,1,Grandson of John V who briefly seized Constantinople with Ottoman support. Reconciled with the family. Later served as regent and governor of Thessalonike.,Brief usurper; later legitimate co-emperor and regent,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Restored_mosaic_of_John_V_Palaiologos_%28head%29.jpg/500px-Restored_mosaic_of_John_V_Palaiologos_%28head%29.jpg,17,5,images/088_.jpg,49.0,49889,75,15.0,76.0,45.5
88,Manuel II,Manuel II Palaiologos,Manuel Palaeologus,Palaiologan,Palaiologos,1391,1425,34,Cultivated and able emperor facing an impossible situation. Survived the Ottoman siege of 1394-1402. Timur's defeat of the Ottomans at Ankara in 1402 gave the empire a reprieve. A noted writer.,Co-emperor under John V from 1373; made his son John VIII co-emperor,https://upload.wikimedia.org/wikipedia/commons/9/92/Manuel_II_Palaiologos_%28cropped%29.jpg,19,10,images/089_.jpg,66.0,31002,285,40.0,31.5,35.75
89,John VIII,John VIII Palaiologos,John Palaeologus,Palaiologan,Palaiologos,1425,1448,23,Son of Manuel II. Attended the Council of Florence in 1439 and agreed to union with Rome in exchange for promised western aid. The union was deeply unpopular at home and the crusade was destroyed at Varna in 1444.,Co-emperor under Manuel II from 1421; made his brother Constantine XI co-emperor near death,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Palaio.jpg/500px-Palaio.jpg,18,8,images/090_.jpg,60.0,12033,275,68.0,33.0,50.5
90,Constantine XI,Constantine XI Palaiologos Dragases,Constantine Palaeologus Dragases,Palaiologan,Palaiologos,1449,1453,4,Last Byzantine emperor. Defended Constantinople with inadequate forces against Mehmed II. Died fighting when the walls were breached on 29 May 1453. Became a legendary figure in Greek folk memory.,Sole emperor at the end; no co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Konstantinos_XI_Palaiologos_fresco_%28less_edited%29.jpg/500px-Konstantinos_XI_Palaiologos_fresco_%28less_edited%29.jpg,20,12,images/091_.jpg,70.0,40,44,86.0,80.5,83.25
